table,item,rarity,value
uniques,Blessed dragonhide vambraces (Armadyl),1/756,954894
uniques,Blessed dragonhide body (Armadyl),1/756,966004
uniques,Blessed dragonhide chaps (Armadyl),1/756,957293
uniques,Blessed dragonhide coif (Armadyl),1/756,933231
uniques,Black dragon mask,1/4536,1220304
uniques,Frost dragon mask,1/4536,1058106
uniques,Bronze dragon mask,1/4536,1102162
uniques,Iron dragon mask,1/4536,1024600
uniques,Steel dragon mask,1/4536,1055974
uniques,Mithril dragon mask,1/4536,1020286
uniques,Third age druidic staff,1/192780,197908107
uniques,Third age druidic cloak,1/192780,202941251
uniques,Third age druidic wreath,1/192780,496572860
uniques,Third age druidic robe top,1/192780,220709560
uniques,Third age druidic robe bottom,1/192780,200445733
uniques,Guthix bow,1/2313,964682
uniques,Zamorak bow,1/2313,1907743
uniques,Saradomin bow,1/2313,1141436
uniques,Starved ancient effigy,1/3780,0
uniques,Coins (10k),1/945,10000
uniques,Shadow dye,1/16632,694315706
uniques,Ice dye,1/12672,615878457
uniques,Barrows dye,1/10138,66343462
uniques,Re-roll token (elite),1/922,0
uniques,Third Age dye,1/52920,8875826456
uniques,Sack of effigies,1/30678,2150147
uniques,Backstab cape,1/15732,1801817
uniques,Crystal triskelion fragment 1,1/828,0
uniques,Crystal triskelion fragment 2,1/828,0
uniques,Crystal triskelion fragment 3,1/828,0
uniques,Blood dye,1/52920,9514200448
uniques,Dragon cane,1/1534,771630
uniques,Coins (100k),1/1534,100000
uniques,Robin Hood tights,1/1512,889156
uniques,Robin Hood tunic,1/1512,862343
