table,item,rarity,value
uniques,Black platebody (h4),1/1168,1029756
uniques,Black platebody (h5),1/1168,1026604
uniques,Black platelegs (h1),1/1168,1038873
uniques,Black platelegs (h2),1/1168,1036471
uniques,Black platelegs (h3),1/1168,1041120
uniques,Black platelegs (h4),1/1168,996917
uniques,Black platelegs (h5),1/1168,1006074
uniques,Black plateskirt (h1),1/1168,1022236
uniques,Black plateskirt (h2),1/1168,1028237
uniques,Black plateskirt (h3),1/1168,1020402
uniques,Black plateskirt (h4),1/1168,1023254
uniques,Black plateskirt (h5),1/1168,1020596
uniques,Spiked helmet,1/1168,857147
uniques,Suitcase,1/2336,1032447
uniques,Off-hand suitcase,1/2336,946649
uniques,Amulet of magic (t),1/290,743902
commons,Coins,1/29,5000
commons,Air rune,1/29,2400
commons,Fire rune,1/29,5700
commons,Water rune,1/29,3900
commons,Earth rune,1/29,1950
commons,Law rune,1/29,8580
commons,Nature rune,1/29,8140
commons,Oak plank,1/29,24420
commons,Water talisman,1/29,563
commons,Air talisman,1/29,983
commons,Earth talisman,1/29,316
commons,Fire talisman,1/29,202
commons,Pure essence,1/29,2850
commons,Staff of air,1/29,2083
commons,Staff of water,1/29,2508
commons,Staff of earth,1/29,2563
commons,Staff of fire,1/29,1966
commons,Hard leather,1/29,7290
commons,Huge plated mithril salvage,1/29,12935
commons,Medium plated mithril salvage,2/29,4357
commons,Small plated mithril salvage,1/29,1929
commons,Small bladed mithril salvage,1/29,2060
commons,Medium bladed mithril salvage,1/29,3286
commons,Mithril arrow,1/29,2050
commons,Amulet of magic,9/290,1040
commons,Willow composite bow,1/87,745665
commons,Yew composite bow,1/87,654991
commons,Magic composite bow,1/87,649374
commons,Black crossbow,1/87,721182
commons,Off-hand black crossbow,1/87,878840
commons,Black 2h crossbow,1/87,15668
commons,Black bolts,1/29,2541
shared,Saradomin page 1,1/384,15850-47550
shared,Saradomin page 2,1/384,11832-35496
shared,Saradomin page 3,1/384,14835-44505
shared,Saradomin page 4,1/384,16324-48972
shared,Zamorak page 1,1/384,17049-51147
shared,Zamorak page 2,1/384,13315-39945
shared,Zamorak page 3,1/384,14200-42600
shared,Zamorak page 4,1/384,16596-49788
shared,Guthix page 1,1/384,20488-61464
shared,Guthix page 2,1/384,17642-52926
shared,Guthix page 3,1/384,18161-54483
shared,Guthix page 4,1/384,18758-56274
shared,Armadyl page 1,1/384,28268-84804
shared,Armadyl page 2,1/384,21417-64251
shared,Armadyl page 3,1/384,23416-70248
shared,Armadyl page 4,1/384,28349-85047
shared,Ancient page 1,1/384,9472-28416
shared,Ancient page 2,1/384,7325-21975
shared,Ancient page 3,1/384,8545-25635
shared,Ancient page 4,1/384,6905-20715
shared,Bandos page 1,1/384,4370-13110
shared,Bandos page 2,1/384,4135-12405
shared,Bandos page 3,1/384,5630-16890
shared,Bandos page 4,1/384,3928-11784
shared,Red firelighter,1/80,4758-7930
shared,Green firelighter,1/80,4545-7575
shared,Blue firelighter,1/80,2865-4775
shared,Purple firelighter,1/80,2814-4690
shared,White firelighter,1/80,3456-5760
shared,Purple sweets,3/16,4030-10075
shared,Holy biscuits,1/16,24-60
shared,Pollnivneach Teleport,1/16,2056-3084
shared,Bandit Camp Teleport,1/32,3906-5859
shared,Gu'Tanoth Teleport,1/32,1340-2010
shared,Miscellania Teleport,1/32,1306-1959
shared,Lighthouse Teleport,1/32,39964-59946
shared,Phoenix Lair Teleport,1/32,1254-1881
shared,Grand Exchange Teleport,1/32,11784-17676
shared,Tai Bwo Wannai Teleport,1/32,4866-8110
shared,Clocktower Teleport,1/32,1436-2154
shared,Fort Forinthry Teleport,1/16,2314-3471
