table,item,rarity,value
commons,Air battlestaff,1/29,7410
commons,Earth battlestaff,1/29,7472
commons,Fire battlestaff,1/29,7221
commons,Amulet of power,9/290,3403
commons,Green dragonhide chaps,1/29,3745
commons,Green dragonhide body,1/29,4439
commons,Green dragonhide,1/29,2390
commons,Yew composite bow,1/58,700156
commons,Magic composite bow,1/58,699868
commons,Adamant crossbow,1/29,7165
commons,Adamant bolts,1/29,2310
shared,Saradomin page 1,1/384,15850-47550
shared,Saradomin page 2,1/384,11706-35118
shared,Saradomin page 3,1/384,15208-45624
shared,Saradomin page 4,1/384,17110-51330
shared,Zamorak page 1,1/384,16865-50595
shared,Zamorak page 2,1/384,13315-39945
shared,Zamorak page 3,1/384,14200-42600
shared,Zamorak page 4,1/384,16328-48984
shared,Guthix page 1,1/384,19907-59721
shared,Guthix page 2,1/384,17137-51411
shared,Guthix page 3,1/384,18161-54483
shared,Guthix page 4,1/384,18087-54261
shared,Armadyl page 1,1/384,28292-84876
shared,Armadyl page 2,1/384,21806-65418
shared,Armadyl page 3,1/384,23183-69549
shared,Armadyl page 4,1/384,28349-85047
shared,Ancient page 1,1/384,9472-28416
shared,Ancient page 2,1/384,7454-22362
shared,Ancient page 3,1/384,8545-25635
shared,Ancient page 4,1/384,7151-21453
shared,Bandos page 1,1/384,4370-13110
shared,Bandos page 2,1/384,3958-11874
shared,Bandos page 3,1/384,5656-16968
shared,Bandos page 4,1/384,3928-11784
shared,Red firelighter,1/80,6144-15360
shared,Green firelighter,1/80,6060-15150
shared,Blue firelighter,1/80,3820-9550
shared,Purple firelighter,1/80,3752-9380
shared,White firelighter,1/80,4608-11520
shared,Purple sweets,3/16,7888-19720
shared,Holy biscuits,1/16,48-120
shared,Pollnivneach Teleport,1/16,3075-5125
shared,Bandit Camp Teleport,1/32,5859-9765
shared,Gu'Tanoth Teleport,1/32,2001-3335
shared,Miscellania Teleport,1/32,1959-3265
shared,Lighthouse Teleport,1/32,59946-99910
shared,Phoenix Lair Teleport,1/32,1920-3200
shared,Grand Exchange Teleport,1/32,17676-29460
shared,Tai Bwo Wannai Teleport,1/32,7299-12165
shared,Clocktower Teleport,1/32,2154-3590
shared,Fort Forinthry Teleport,1/16,3471-5785
shared,Meerkat scroll (Fetch Casket),1/16,157570-315140
