table,item,rarity,value
commons,Large plated rune salvage,2/20,29989
commons,Medium plated rune salvage,1/20,21989
commons,Medium bladed rune salvage,1/20,22142
commons,Large bladed rune salvage,1/20,32000
shared,Saradomin page 1,1/420,15728-47184
shared,Saradomin page 2,1/420,11473-34419
shared,Saradomin page 3,1/420,15150-45450
shared,Saradomin page 4,1/420,17722-53166
shared,Zamorak page 1,1/420,17499-52497
shared,Zamorak page 2,1/420,13294-39882
shared,Zamorak page 3,1/420,13960-41880
shared,Zamorak page 4,1/420,16840-50520
shared,Guthix page 1,1/420,19662-58986
shared,Guthix page 2,1/420,16848-50544
shared,Guthix page 3,1/420,17636-52908
shared,Guthix page 4,1/420,17983-53949
shared,Armadyl page 1,1/420,27717-83151
shared,Armadyl page 2,1/420,21597-64791
shared,Armadyl page 3,1/420,22823-68469
shared,Armadyl page 4,1/420,28611-85833
shared,Ancient page 1,1/420,9420-28260
shared,Ancient page 2,1/420,7743-23229
shared,Ancient page 3,1/420,8952-26856
shared,Ancient page 4,1/420,7066-21198
shared,Bandos page 1,1/420,4309-12927
shared,Bandos page 2,1/420,3824-11472
shared,Bandos page 3,1/420,5535-16605
shared,Bandos page 4,1/420,3933-11799
shared,Red firelighter,1/96,10932-21435
shared,Green firelighter,1/96,12576-24281
shared,Blue firelighter,1/96,7106-13868
shared,Purple firelighter,1/96,7054-13752
shared,White firelighter,1/96,9120-17688
shared,Purple sweets,3/17,15494-34885
shared,Holy biscuits,1/17,96-216
shared,Pollnivneach Teleport,1/17,4105-7698
shared,Bandit Camp Teleport,1/35,8045-15113
shared,Gu'Tanoth Teleport,1/35,2668-5003
shared,Miscellania Teleport,1/35,2612-4895
shared,Lighthouse Teleport,1/35,79928-149865
shared,Phoenix Lair Teleport,1/35,2508-4703
shared,Grand Exchange Teleport,1/35,23568-44190
shared,Tai Bwo Wannai Teleport,1/35,9732-18248
shared,Clocktower Teleport,1/35,2872-5385
shared,Fort Forinthry Teleport,1/17,4628-8678
